Narrative,label
" Sehr geehrte Damen & Herren, immer, wenn ich einen Prozess brennen will und im Brennmodus unter ""bearbeiten"" ein eigenes Label ( als bmp od jpg )einfüge, das auch im Vorschaumonitor richtig angezeigt wird, bekommen ich nach dem Start des Brennvorgangs folgenden Hinweis: wmem reports disc project build exception: 026416f5 und der Brennvorgang wird abgebroche. Brenne ich OHNE eigens Label klappt alles ohne jedes Problem.  Was mache ich falsch bzw wo liegt die Lösung dieses Problems?  Mit freundlichen Grüßen      ",4
" Habe ein Power Mac G5 gekauft. Möchte meine o.g. Software auf Mac laufen lassen? Ist es möglich? Wenn nicht gibt es ein Upgrade für Mac, dass ich einspielen kann? Es kann ja nicht sein, daß die Software nur auf BS win xp/7 läuft.  Danke  mfg Cats61      ",3
" auf meinem detailsheet http://www.rhein-main-versand.de sind seit gestern abend einige Calibri-Texte durch blaue Sprechblasen(?!) ersetzt, u.a. auch das Impressum - im lokalen specificationsheet-creator erscheinen die texte aber korrekt und bereit zur Freischaltung - würde mich riesig freuenm, wenn Sie die blauen Sprechblasen wieder durch die entsprechenden Texte ersetzen könnten :)      ",0
" Fehler im Warehouse Datenspeicher, alle angegebenen Optionen ausprobiert. Der Fehler bleibt vorhanden. Software neu installiert keine Änderung. Detailierte Fehlermeldung Error code: 03377405      ",0
" Nach der Installation kommt beim ersten Programmstart die folgende Fehlermeldung: Fehler im WAREHOUSE-Datenspeicher ! Es ist möglich, dass einige Funktionen nicht verfügbar sind. Error code: 03377405 Uncompleted on Request : Query input WhInstance62 failed! Cannot access DS-Directory!. LastError: 371 -------------------------------- Alle DS-Funktionen gehen nicht.      ",3
"   Hallo , ich habe ein Problem mit diesen Programm. Mein Betriebssystem  ist   Windows 7,das Programm habe ich 2010 gekauft. Ich möchte jetzt mit meinem Warenbestand ein Projekt gestalten. Beim brennen diese, erkennt das Programm den aktuellen Brenner nicht! Was soll ich tun!!!!   Mit freundlichen Grüßen Hannelore Kihrch      ",3
" Ich habe mit dem Specssheet Creator firstclass ein Specificationsheet-Projekt erstellt und freigeschaltet - soweit hat alles ohne probleme funktioniert und ist unter der Webadresse get-prominent.warehouse.net ordnungsgemäß angezeigt worden. Plötzlich wurden Daten nicht mehr geladen bzw.nur der ladevorgang (kreisende punkte)angezeigt,Texte verschoben dargestellt. Ich wollte dieses Problem im Specssheet Creator beheben mußte aber feststellen das ein bearbeiten des Projektes nich möglich ist. Was bitte ist das Problem.       ",0
 Vor einem Jahr habe ich mit dem Futureblitz Kartenleser (HANDSCANNER 1210) die Warehouse Produkt organizer Software (12 Version 7.6) arhalten.Nach einem Computerabsturz wurde dieser jetzt neu installiert. Ich bekomme Fehlermeldung Demophase abgelaufen - Registrieren mit Kunden Nr.. Was muss ich jetzt genau machen über den Produktorganizer weiter zu verwenden. Ich würde mich über einen zeitnahe Antwort sehr freuen.  L. Feltz       ,5
" Guten Tag ,ich habe das Produkt Software Seriennummer S-44522-38327-16407-00214-83653 mehr als ein Jahr nicht gebraucht.Nun habe ich alles vergessen, Email log in usw.Jetz habe ich mich neu regiestrieren wollen,mit wahrscheinlich anderer Mailanschrift.Als ich mit neuen Login mich einwählen wollte,wurde mir gesagt,dass das Produkt schon regiestriert sei.Ich komme nicht mehr weiter.Bitte setzen Sie doch bitte alle Daten zurück damit ich mit dem Programm arbeiten kann!!!!! Mfg  Walter Jettenstadt      ",5
" Bei Installation der neu erworbenen Software ist folgendes Problem aufgetreten (Fehlermeldung): ""Bei der Umwandlung Ihres Produktdatenspeichers ist ein Problem aufgetreten. Sie werden Ihren Datenspeicher deswegen mit dieser Software nicht verwenden können. Bitte wenden Sie sich an den Helpdesk um Unterstützung zu bekommen"".  Nach Installation des auf der Programm-DVD ebenfalls enthaltenen Gratis-Programms Produkt Organizer 13 und dem Starten des Programms erscheint ebenfalls eine Fehlermeldung: ""Fehler im WAREHOUSE Datenspeicher! Es ist möglich, dass verschiedene Funktionen nicht nutzbar sind.""      ",3
" Sehr geehrte Damen und Herren, ich habe einen Ablauf von DVD (vermutlich mit Scanner erstellt) importiert und die Bestellnummer ist von Angang an asynchron. Wie kann man dieses Problem beheben? (Bei der Vorgaengerverion hatte ich das Problem erst nach dem Brennen, aber nach erneutem verschluesseln lief das Ganze)      ",2
" Besitze Warehouse Produkte im IT & OFFICE Katalog 12 deluxe. Habe meine Festplatte D: von 75 GB auf 120 GB erweiter und jetzt kommt beim Programmstart die Meldung, Das Programm konnte nicht ausgeführt werden, eventuell ist der Program-Order beschädigt. Fehlercode 9  Was kann ich machen?      ",0
" Mein Programm ist: Salesfirstclass19 ultimate (15.3.5.17) Wie bereits bei Herr Benjamin Regeler erwähnt, stockt das Programm beim Bearbeiten und zusammenstellen der Ablaufteile. Das Problem ist erst mit der Verwendung des ""EMV AVCHD-Kartenlesers"" Systech MTX-TZ560"" aufgetreten. Vorher gab es keine Probleme.  Das Problem tritt nur beim Verarbeiteten von Verkaufsmaterial des neuen Kartenlesers auf. Mein PC ist ein HPM8687.ch und cirka eineinhalb Jahre alt. Freundliche Grüsse          ",0
 ES TRAT SCHON BEIM ERSTEN BRENNANLAUF EIN INTERNES PROBLEM AUF ! SIEHE SCREENSHOT IM ANHANG !  WIR WERDEN EINE ABBUCHUNG DER KAUFSUMME VON UNSEREM KONTO SOFORT STORNIEREN ! BITTE BESEITIGEN SIE ZUERST DAS PROBLEM ! FALLS DIES NICHT MOeGLICH IST WECHSELN WIR ZU VLC 12 !      ,1
" Guten Tag,  ich habe am gestrigen Tag mein Projekt http://www.textilienhaus.warehouse.ne weiter berbeitet, es hat jetzt eine Größe von ca. 65 MB. Keine Bilder keine Tabellen.  Beim Freischalten erscheint jetzt ständig der Hinweis: ""SpecsManager Nicht ausreichend Seicher"".  Beim Versuch, die interne SpecsManagerhilfe aufzurufen kommt die Fehlermeldung: ""Interner Ausnahmefehler 276.u.oz.io .  Ich nutze einen neuen MEDION-Laptop mit Win7 Home Ultimate.  Wie kann ich mein Detailsheet im Firmennetzwerk weiter bearbeiten?  Vielen Dank für Ihre Hilfe und mit besten Grüßen  Kuno Wruff      ",4
" Sehr geehrte Damen und Herren, nach dem Verbinden des Cardreaders ( Solarmobile TR- XD 250) mit dem EtherNet-Kabel, wird diese gefunden und unter ""Geraete und Drucker"" auch angezeigt. Gleichzeitig startet ""Sales firstclass"" automatisch. Leider sind weder im ARC-Modus noch im Cardreader-Modus Daten im Vorschau-Fenster zu sehen. Als EM-Geraetetreiber  wird ""Microsoft EM-Cardreader und ARC"" angezeigt. Erbitte Hilfestellung!  Mit freundlichen Gruessen      ",3
"  Nachdem ich viele Jahre mit Produkte im IT & OFFICE Katalog 8.0 erfolgreich gearbeitet habe, habe ich Version 12 first Class installiert (8.0. ist deinstalliert). Leider kam beim Brennen meines ersten Projektes die Ernüchterung.  Schon beim Entschlüsseln wird der Prozess mit der Fehlermelung 411451v4 abgebrochen.  Als Anhang schicke ich Ihnen die dazugehörige Logfile.  Besten Dank im voraus!  Bruce Wayne      ",4
 Habe mir einen Complete EMV Datenscanner Marke Goldbuster Typ DVSZ 8.3 F5 bei Firma Kaufhof gekauft. Wenn ich nun von dem USB Stick eine Prozessdatei im Complete EMV Format importiere (Kartenleser Konfiguration: Psk/80MB/81Seg/26Bpd/File_Typ .crv) sehe ich im Warehouse Program die Bestellnummer sehe aber kein Daten. Selbst wen ich unter Anzeige Konfigurationen/ Anzeigeoptionen bei Preview im Coordinator unter Prozessmodus die 5 möglichen Konfigurationen durchprobiere sehe ich keinen Prozess maximal einen Datensatz. Währenddessen wird die Bestellnummer ganz normal angezeigt. Bitte um Rat da ich meine EMV_Prozesse ja nun nicht mehr bearbeiten kann.      ,2
