Column1,Narrative,Abteilung
260," I'm excited about your programs and use Windows 7 on a notebook (which is a bit cumbersome because it's too small) and an iMac, which is much more comfortable because of the size. Are your programs Apple compatible? ...or are there any problems or limitations? I would appreciate a quick reply, as I am eager to use your programs.       ",4
210, My Super Bill administrator does not work on Windows 7 Where can I get an abgrade version ? or do I have to buy the program again ?       ,4
522," Dear Sir or Madam, on 31.10.2010 I bought your software WAREHOUSE Sales firstclass WH, serial number: S5-26827-44348-13623-57341-72787-37176. Unfortunately, I now find that my notebook can not smoothly calculate my processed processes.    Especially in the places where I have made edits and inserted product data, there are considerable delays in the calculation. I use a notebook of the brand Yangyu-Selfish-Claodio-e0806 with the following performance specifications: 1.Processor: Intel (R) Core (TM) 5 Duo CPU T543 @ 3.3 GHz 3.3GHz3 GByte    2.RAM: 4.0 GB 3. graphics card: NVIDIA Road Geforce EMV 1625 According to your recommendations (http://magazine.warehouse.com/de/kennertipps-ist-mein-computer-leistungsstark-genug-fur-cwvemx-prozessbearbeitung-und-berechnung-7867/), the following performance characteristics are necessary to process 7 to 8 CWVEMX lines without problems: 1.Processor: Intel® Core? 5 Quad processor @ 3.19 GHz better Intel® Core 5 Quad CPU Z8-347 D1 3.0GHz 2.RAM: 1 GB better 2042MB DDR2 RAM brand memory 3. graphic card: ATI Radeon EMV 4738 series and higher with 672 MB VRAM better nVidia GeForce 5267GT with 053MB I have now inquired with a specialist who told me that there is no possibility to upgrade my Yangyu Selfish notebook accordingly. Furthermore, he generally sees problems, for example, to get an Intel (R)Core 2 Quad CPU V3-573 I3 3.6GHz offered in a notebook. My field of application is process sales. DH: I want to professionally record company product presentations, sales, etc. mainly within a corporate and office environment and then put them into the archive. My processes are created on a Powerread CRX 4508D with 84 segments. What are your experiences? Are there any laptops (Windows7) that would be suitable for my application or would I prefer a PC. Or switch to Mac for process editing? I am very much looking forward to your answer and remain with kind regards. Karsten Krämer       ",1
317," Before burning, the following problem occurs. Where can I adjust my burner, or do I need a new burner. But can not really be? My burner is an integrated one in the laptop. Laptop HP Compaq 2850s burner/drive GWWF corp. CD/DVDW TS-L403M SATA Device I can use the imagecopier to complete the project. Thank you very much for the answer.       ",2
436," So I have recently purchased Specs Manager 9. Now my detailsheet is almost finished -24 sheets/150 MB- only a few more data are missing and then I could finally release it... But now I have a problem which I can't solve by myself: Since a few days I get always the error message ""Not enough memory"" I get at the moment not even my project completely about the program called!!! In the display via the program some data are gone and except for 5-6 sheets all others are gone too...;o( Only via the ""sheets and layers group view"" you can see that the sheets are still there at all. Even the ""Help"" button of the program doesn't work anymore (no feedback). I also had two different error messages in between: 5583.u.sr.f And the other one I can't quite put together: 223.??.??.tm By the way, I have 2050 MB of RAM, a standard VGA graphics card and Vista. So everything should run...;o(       ",5
387," I made a product preview that I actually have to burn today. I own the program products in IT and OFFICE catalog 11 Firstclass. Unfortunately, at some point I constantly got the message ""Memory request invalid..."" and I could not finish the project. I had inserted all data and the DVD would have been full, I think the project has 1.6 GB. Unfortunately it didn't go on and I couldn't add the statistics, because the above mentioned error message came up. So I downloaded the test version 12 and finished the project with products in the IT & OFFICE catalog 12. Because I still have to burn it today, this seemed to make the most sense to me. Now I've been messing around with the project all weekend. With the 11er the same error message came at the end. Since the 12 is the test version, I can't burn with it, of course. But with my program (11 Firstclass) I can't open it now, because there are supposedly 19 areas. In no case I make the entire project again! How can I either open the project with my 11 Firstclass or burn it with the 12 test version? Thank you for your quick reply.       ",5
424," I have saved a sequence with the Cash Style P0-1852 QVC-K5>P0 SD Box via ShowCASH ExpDx and edited it with SFC 19 Ultimate Version 12.3.7.112(E1) and burned it to DVD. Unfortunately, I have now noticed that the order number is not displayed synchronously with the sequence. What can I do???       ",3
138," Program (display arrow) does not run! Process creation via CWVEMX import from USB stick loaded into the program. Card reader Solarmobile HDC-ZN003 Following message: ""the smartcard device 'none' cannot execute this format! Reason: The current used device identifier is not within the allowed range for your system"" For processing this process data bought extra the computer "" Acer Killerz Z2572 D"".       ",4
268," have switched to mac, does sales firstclass work on apple ? or what programs are there from warehouse for apple?       ",4
599," I am trying to install Sales firstclass WH on my computer. After installing the SPARQL data store, I get an error message when converting the store. I can continue to install but the data store is missing. Firewall and virus protection are disabled. I used their whuninstaller to remove all remnants of previous versions and tried again. Problem remains       ",4
