,Narrative,label
300," After restoring a system backup (OS:Windows7 64Bit) SalesFirstclass 19 Neo reports that the test time has expired, although I have valid serial number (T8-26371-58197-33412-03110-24771-01414) Also re-entering this serial number leads to the same result. How can I reactivate my SalesFirstClass? Please reply urgently as I need to make a DVD for a team meeting. Yours sincerely Richard Wagner       ",6
258," I have purchased the above software on 16.04.2010. With the SN printed on the CD in upper case, mixed with numbers and separated with hyphens, I cannot register/unregister, even omitting the hyphens or lower case. The browser is online, of course. Please allow me to use my purchased hardware and software on my Mac. Thank you       ",4
43, The following error message: !!! MBK exception in CopyWorkspace: 13 - process failed !!!    what next??       ,5
624, Error message: Interbase SPARQL Server-Warehouse Edition Setup A problem occurred while converting your product data store. You will not be able to use your database with this software. Please contact the helpdesk       ,4
326," No burner is displayed for me? I have a new computer and also downloaded the update. What is the problem, I do not understand. With other programs I can burn.       ",2
319, I have a product preview and can't burn it to a DVD. Says has a version conflict. Requires DLLAV14.DLL version 9.5.432. I am getting desperate. Have also help with Teamviewer. Without success With kind regards Gesa Bortzel CD Copyrith 2005-2009 11 firstclass       ,2
169, Operating system: Windows XP SP3 Warehouse Program: Sales firstclass 19 Error message: CRV file cannot be read.       ,1
84," the error occurs when you want to drag a .PRC file into the Warehouse. The error message is: DATA-5 Activation Enter activation code. i have ordered an activation code for 6,95 Euro. When I enter this code, it says : Code invalid. If I press -cancel- it says : the file type cannot be opened by Warehouse. All this happens with .PRC files, which I have already used in a product preview without problems. I dragged these files into Warehouse and then converted them to .CRV with -Export file-. But now I can't even bring these files into the product preview. I have already sent such a file to you. To help me further I used an external converter to convert the file to .CRV, then I can bring it into the product preview, but then the order numbers do not match the flow.       ",5
20," Hello I am copying my processes from my digital reader5 to my computer. During the creation, I switched from matrix to barcode with the external scanner, and there was always a missing order number. When transferring to the computer, the following happensThe project is transferred completely, but when converting to SFCWH afterwards, the process ends with the dropout, although the whole project is there according to the amount of data. Under Paymentreader the whole project is visible, but at the interruption there is no more order number. I have imported the project again with another process program -> there it works. Under SFCWh then viewed the order number is entered from the suspension only half. This happens almost with every project with the switch from matrix to barcode during a creation with the card reader. The same effect also occurs with SFC20. Can you explain to me that this works with another Sals program but not with yours?       ",3
381, I receive the following error message: A memory request is invalid. Possibly there is no more memory available or an internal problem has occurred. Memory is still free on my PC in any case.       ,5
31," After my hard drive broke, I had to reinstall all the programs. Now I can call up my process for further processing in Warehouse Sales 2008/2009, but I cannot see any order numbers. This is probably due to the activation code, which I am no longer entitled to according to the product registration dated 19.12.2008. Do I have to buy a new program now to finish my work?       ",3
307," Dear Helpdesk Team, I had to reboot my computer and today I reinstalled Warehouse, on the other hand also B2B Creator. When entering the serial number I was told that it already exists. What do I have to do now. Does the program run like this now or does it need to be activated somehow. Thank you in advance for your info. MfG Dietlinde Kraft dlkraft@tunnelmail.de       ",6
291," Dear Ladies, Dear Sir, So far I have used Trendset's process editing program - Trendset Laboratory EMC Power Collection - for my processes. Now I have bought with on 20.01.2011 their sales process editing program (Sales firstclass WH Ultimate version 21). Before that I have downloaded and tested this program as a test program. Now before I install my purchased process program, I uninstalled the trial version. After the installation I also registered this program. Then I wanted to install the program (Product_Organizer_13), which I do not succeed after several attempts. Also the program (xtraGOOD CrystalCycrle 5 WAREHOUSE Edition) will not install. On my hard disk is the program (WAREHOUSE Product Organizer 11). Can you help me??? Thank you very much in advance. Yours sincerely Edmund Rast       ",6
515," Dear Sir or Madam I was editing my XLS and Xtreme XLS with the process editing program. Last week my PC had a defect, so I had to reinstall the program. Since then the messages ""No creation devices could be detected in your system"" and ""Driver software for USB 1658 device needs to be installed. I have already downloaded this installation (process manager yellow/white) X times; without success. What am I doing wrong?       ",4
387," I made a product preview that I actually have to burn today. I own the program products in IT and OFFICE catalog 11 Firstclass. Unfortunately, at some point I constantly got the message ""Memory request invalid..."" and I could not finish the project. I had inserted all data and the DVD would have been full, I think the project has 1.6 GB. Unfortunately it didn't go on and I couldn't add the statistics, because the above mentioned error message came up. So I downloaded the test version 12 and finished the project with products in the IT & OFFICE catalog 12. Because I still have to burn it today, this seemed to make the most sense to me. Now I've been messing around with the project all weekend. With the 11er the same error message came at the end. Since the 12 is the test version, I can't burn with it, of course. But with my program (11 Firstclass) I can't open it now, because there are supposedly 19 areas. In no case I make the entire project again! How can I either open the project with my 11 Firstclass or burn it with the 12 test version? Thank you for your quick reply.       ",5
460," Dear Sir or Madam, I recently purchased Sales firstclass 20 and have the following problem. I enter my flow from the card reader, edit the orders and burn a DVD. This created DVD is not readable on my LG Blu-Ray Disc/DVD drive BH-10LS. The DVD is not recognized by the editor. Also a created CWEMVX is not recognized. If I do not burn the created sequence data directly to DVD, but output it to a directory and then burn the DVD data from the directory to a DVD with ""Nero"", the LG Blu-Ray Disc/DVD drive BH-10LS plays the DVD correctly. Apparently the problem is the burning program that is integrated in Sales firstclass 20. What can I do here ? I ask for reply by mail to Gerhard.Kleppa@online.de Yours sincerely Gerhard Kleppa       ",2
219, Why is the process scanner not compatible with windows 7?       ,4
136," When I import a statstikfile, it does not compute. Instead I get the error message: The smartcard device 'Microsoft Scancreator' cannot create this format. Reason: Unknown external problem! But this error message only appears if you import the file in the different lines. If you do not start the program as a new project, the file can be imported and also calculated. BG Lanz       ",4
