Unnamed: 0,Narrative,label
466," Dear helpdesk team, I bought Power 6 yesterday and wanted to burn an iso process (charity sale of our partner) to DVD with the program today. I guess that worked, but again an sfc file was created. So your program does not convert to data. Now I have already many registered software from WAREHOUSE. One more is not important now: which conversion program am I missing? Yours sincerely Werner Würzmann Altenburg       ",2
203," Dear Sir or Madam,      after entering a month, the following message appears:    Error while parsing the XSL data. What can I do ?    mfg Ch.Zimmermann         ",5
283," Hello, I would like to install the add-on programs xtraGOOD Calculage 14 and xtraGOOD Corporare 5 on my PC, but the serial numbers indicated on the CD cover are not accepted??? What to do to activate them?       ",6
340," Dear Sir or Madam, after connecting the card reader ( Solarmobile TR- XD 250) with the EtherNet cable, it is found and also displayed under ""Devices and Printers"". At the same time ""Sales firstclass"" starts automatically. Unfortunately, neither in ARC mode nor in Cardreader mode data can be seen in the preview window. As EM-device driver ""Microsoft EM-Cardreader and ARC"" is shown. Please help! With kind regards       ",4
54," Dear Sir or Madam, had a program abort yesterday while burning. Wanted to start a new attempt today. Now I get the following error message: Verschlüssele Ablaufaufbau Beim Processing Error message wmem reports disc project build exception: 411451v4 What can I do? Thank you very much for your efforts.       ",5
471," Dear Sir or Madam, For some time I like to work with your program Specs Manager 9. Now yesterday I also bought your program SSales simple 6 EMV. The installation was apparently successful, although I was not asked for the Serial-No.. When I started the program, the error code -9 appeared, which I have seen so many times. I have tried many different possibilities from the warehouse forums and from your Frequently Asked Questions. Among other things, I used whrescue.exe to perform a cleanup. However, after reinstalling, the same error occurred again. Unfortunately, my SPECS Manager 9 now also no longer works and there the same error message -9 appears on startup. Maybe you can help me? Best regards Ralf Brunger       ",1
25," Installation products in OFFICE catalog WH firstclass - change from products in IT and OFFICE catalog 12 firstclass. Currently both versions are installed. Under the new version 14 it is not possible to assign an order number to sales objects (""normal"" XLS statistics in the separate order number line o.k. and under version 12 also the process order numbers are visible) What is different from version 12. PC with Windows 7 prof, Temtech scanner, the processes (npf files) are from Solarmobile DFT-H63. Just discovered: Import of sales files without order number - PSEarch downloaded.       ",3
388," Hi, have a total of just under 7 megabytes of EMC sales material from my Systech MTX-SR40W split into 385 sc2c files. Processing is impractical despite the normally adequate performance of the computer. Converting to PXA seems to help. The files can be edited very fluently - but at about 22nd position in the total view an error message ""Memory request invalid"" appears. In this context I also noticed that the memory is completely used up. Is there a solution to handle EMV processes fluently and without data loss? Would like now ungerrn because of card reader change also the software. mfg Schlaemmer       ",5
331, I need version 9.5.432 or higher. DLLAV 35. dll This data is called before I can burn.       ,2
7," I have included the online collection as a link in one of my sheets of my specification sheet. As configuration I have chosen ""open in the same window"". Nevertheless the online collection opens in a new window, which reaches only half screen size. I.e., it must be brought by hand on full screen size. Furthermore, two problems occur in the online collection: 1. the article preview runs mostly in the upper left corner and is partly covered by the white bar (My Collections etc.). 3. the included statistics are not always shown. Thanks in advance for a reply Jürgen Plantsch       ",1
294," Dear Helpdesk Team, due to some computer setups (system crashes, new computer) I am no longer able to unlock the program Analysity Statistics Laboratory 20 download version, order number:61308483000334367WHR, serial number: T3-03038-71133-67283-56662-18207-68518, registration date: 11.03.2011, because the limited number of unlocks has been reached. Please send me again a valid unlock code. Thank you very much and kind regards Eberhart Grundel       ",6
451," error message:the file format..prc cannot be read,please make sure the drive is not full or write protected. this error message did not occur before,but it concerns my most used format (prc. powerread full se 33 mb per sec)       ",5
222," I have from you the programs products in It&Office catalog5 and StatisticsCleaner2009firstclass. I now have a new PC with Windows7 and would like to install the programs again, but they are not compatible. are there updates or the like for the two programs so that I can install them on my new computer? I would be very grateful for any information in the short term.    With kind regards       ",4
253," Hello, are your products also compatible with Apple computers (OS-X operating system)?    Thank you and kind regards       ",4
281," ""Continue using program"" leads to the message ""The unlock code is not correct..."".       ",6
255," Appreciated technician! I always worked with Warehouse in the IT and OFFICE catalogs, I could easily and quickly make good article previews. Now I have had to switch to Mac and I would like to continue with the old proven system of article previews. Do you have any software that works on the Mac? Greetings       ",4
170," Good day, unfortunately for days I can hardly load products into my online collection       ",1
226, Is it possible to install office catalog 11 correctly on a min 7 computer? If not is there a possibility of a cheaper update to a running version? I just bought office catalog 11 in summer 2010 and now I can't install it on my new computer? Thanks for your help       ,4
52," Dear Sir or Madam, After installing WarehousE products in IT § OFFICE catalog 12 on my laptop with Windows Vista and activating DATA3 code for CWEMVX output to DVD, I received the following error message after calculating 6 out of 7 steps for creating disc - project: wmem notifies disc project 481763a7 In the log file report, at the end it was stated: see attachment. What is the problem? On my desktop PC it works fine and I am thrilled with the quality!       ",5
393, I have Windows 7 (64 bit) and I keep getting the error message that a save request is invalid (or an internal problem has occurred) when I try to insert a sales process (prc file). Sometimes it also denies access to this file because it cannot be read. What could be the reason for this? The latest drivers are all installed and enough memory is also available. M.f.G.       ,5
518," I want to import XLS lists. Source: XLS process scanner. Connection to your USB process manager (yellow-white). Current driver for the USB process manager installed. System: Windows 7 Your program: WAREHOUSE Sales firstclass WH Ultimate download version My various attempts to import a sequence failed. Although I have already read various comments on your helpdesk pages and tried some things. In the program, when I call the import task, I see the message that I should connect my XLS scanner to the CASH, process or accounting system of the PC. I now want to try this out. Do you have a tip for me which attachment I should use only for this purpose with my PC? Greetings, Balduin Funes P.S. It worked about 5 years ago when I still had an old computer with Windows98 and your software ""Processes in OFFICE Catalog 10"" and the black process manager.       ",4
228," Dear Sir or Madam, I have Windows 7 HomePremium 64 bit version as operating system. Unfortunately, my warehouse processes for office 6 no longer work. I would like to bring processes and DVD's on my office computer and also on the laptop PC of my secretary. Can you show me a solution and offer. (my secretary works with W7 HP 32bit version) Thanks in advance and best regards.         ",4
34," 1. the error "" Troubleshooting "" has occurred when creating the texts and functions, probably four times. I was prompted "" Project "" 3. restore project. I then changed the project - name as prompted and was able to continue working until completion. Statistics could be created without problems. Then came next "" Burn "" after some time the message "" Troubleshooting"" X Problem in class "" wmembank.dll""( load address: 0x8e 534678) at address 6x8e80fcre Exception Oxc82562 "" ACCESS_FORBIDDEN "". Next attempt to burn: again message "" Troubleshooting "" Problem in class wmembank dll"" ( load address: 8x81f35118) rest as above.       ",5
245," The online registration/activation of Statistics Creator WH 21 after the start shows green check marks at serial number and e-mail address, but quits with the claim that no internet connection would be possible. SC can only be terminated afterwards! Under 'My WAREHOUSE' SC21 is already registered! An activation code cannot be created there, because the identification number from the mail form is not correct.    Here the data: Serial number: F6-48114-13332-85740-47515-57034-53433 E-mail address: agnes.torthand@arcor.de IdentificationNR: SC21DLX-47743-57040-88476-55835-01702-62608       ",6
140," Could install Statistics Laboratory L. but with it I can neither calculate through nor create. Tried also to display the sample.ods. and it comes an error message: The smartcard device ""Microsoft-Scancreator"" cannot create this format! Reason: Unknown external problem. This shows up when merging through an odss.       ",4
344," Dear Sir or Madam, My EM scanner records the sequences on a card. From there I would like to transfer the sequence to the pc. But the em scanner is not found. What to do?     -----Original message----- have installed the software under windows 7. nevertheless the EM data scanner is not found. have also chosen the way about the compatibility mode incl. download of the burn drivers. no result. question: is there an upgrade for windows 7 or what else can I do? mfg       ",4
438," The data sheet I created months ago can no longer be loaded into the program with Super Specs Manager8. The message ""not enough memory"" appears. All unnecessary programs have been closed. The problem remains. My specification sheet consists of 3 categories of 150 files and is 55.5 MB in size.       ",5
330," When I want to burn my slide show, no burner is displayed. Encryption occurs but no burning       ",2
